date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-03-24,SE,,state,168536,3347,False,2318822,28,7268.17324,0.0199
2021-03-24,SP,,state,2352438,68904,False,46289333,35,5082.03045,0.0293
2021-03-24,TO,,state,136020,1885,False,1590248,17,8553.38287,0.0139
2021-03-23,AC,,state,66290,1201,False,894470,12,7411.0926,0.0181
2021-03-23,AL,,state,148422,3378,False,3351543,27,4428.46772,0.0228
2021-03-23,AM,,state,340785,11836,False,4207714,13,8099.05331,0.0347
2021-03-23,AP,,state,93015,1243,False,861773,16,10793.44561,0.0134
2021-03-23,BA,,state,774491,14357,False,14930634,29,5187.2613,0.0185
2021-03-23,CE,,state,511170,13048,False,9187103,23,5563.99553,0.0255
2021-03-23,DF,,state,332153,5503,False,3055149,53,10871.90838,0.0166
2021-03-23,ES,,state,363853,7053,False,4064052,32,8952.96123,0.0194
2021-03-23,GO,,state,461262,10599,False,7113540,52,6484.28209,0.023
2021-03-23,MA,,state,235646,5759,False,7114598,21,3312.14778,0.0244
2021-03-23,MG,,state,1040198,22123,False,21292666,31,4885.24077,0.0213
2021-03-23,MS,,state,205712,3915,False,2809394,50,7322.29086,0.019
2021-03-23,MT,,state,292842,7033,False,3526220,51,8304.70022,0.024
2021-03-23,PA,,state,403353,9971,False,8690745,15,4641.17863,0.0247
2021-03-23,PB,,state,248452,5313,False,4039277,25,6150.90275,0.0214
2021-03-23,PE,,state,333498,11762,False,9616621,26,3467.93328,0.0353
